Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
São João da Fronteira (PI),5522,817,6.76
São João da Serra (PI),6114,994,6.15
São João da Varjota (PI),4383,394,11.11
São João do Arraial (PI),8186,213,38.36
São João do Piauí (PI),21421,1527,14.02
São José do Divino (PI),4841,319,15.16
São José do Peixe (PI),3297,1287,2.56
São José do Piauí (PI),6597,373,17.67
São Julião (PI),6025,291,20.7
São Lourenço do Piauí (PI),4410,674,6.54
São Luis do Piauí (PI),2309,218,10.6
São Miguel da Baixa Grande (PI),2269,445,5.1
São Miguel do Fidalgo (PI),2829,813,3.48
São Miguel do Tapuio (PI),17554,4989,3.52
São Pedro do Piauí (PI),13755,518,26.54
São Raimundo Nonato (PI),38934,2415,16.12
Sebastião Barros (PI),3202,893,3.58
Sebastião Leal (PI),4446,3149,1.41
Sigefredo Pacheco (PI),9460,1031,9.17
Simões (PI),14350,1076,13.34
Simplício Mendes (PI),13881,1360,10.21
Socorro do Piauí (PI),4141,762,5.44
Sussuapara (PI),6220,205,30.31
Tamboril do Piauí (PI),2949,1587,1.86
Tanque do Piauí (PI),2316,398,5.82
Teresina (PI),866300,1391,622.66
União (PI),46119,1171,39.39
Uruçuí (PI),25203,8413,3
Valença do Piauí (PI),22281,1334,16.71
Várzea Branca (PI),5055,450,11.22
Várzea Grande (PI),4417,236,18.68
Vera Mendes (PI),3185,342,9.31
Vila Nova do Piauí (PI),2935,222,13.24
Wall Ferraz (PI),4059,270,15.01
