Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Mutuípe (BA),20037,276,72.64
Nazaré (BA),27049,279,97.08
Nilo Peçanha (BA),12052,389,30.99
Nordestina (BA),18402,465,39.54
Nova Canaã (BA),13715,805,17.05
Nova Fátima (BA),7967,347,22.97
Nova Ibiá (BA),6501,203,31.99
Nova Itarana (BA),7780,475,16.37
Nova Redenção (BA),7538,565,13.33
Nova Soure (BA),24236,967,25.06
Nova Viçosa (BA),39509,1316,30.01
Novo Horizonte (BA),11162,628,17.79
Novo Triunfo (BA),10660,278,38.28
Olindina (BA),22633,637,35.51
Oliveira dos Brejinhos (BA),20715,3313,6.25
Ouriçangas (BA),7716,157,49.15
Ourolândia (BA),19243,1545,12.46
Palmas de Monte Alto (BA),20078,2560,7.84
Palmeiras (BA),10339,737,14.02
Paramirim (BA),20347,1087,18.72
Paratinga (BA),29252,2625,11.14
Paripiranga (BA),26604,442,60.16
Pau Brasil (BA),9370,626,14.96
Paulo Afonso (BA),112870,1544,73.08
Pé de Serra (BA),13243,597,22.19
Pedrão (BA),6235,158,39.34
Pedro Alexandre (BA),13954,890,15.69
Piatã (BA),20086,1826,11
Pilão Arcado (BA),35357,11598,3.05
Pindaí (BA),14731,628,23.44
Pindobaçu (BA),19083,496,38.49
Pintadas (BA),10325,647,15.95
Piraí do Norte (BA),10974,193,56.73
Piripá (BA),9152,512,17.88
Piritiba (BA),17566,980,17.92
Planaltino (BA),8022,955,8.4
Planalto (BA),23135,769,30.08
Poções (BA),48293,938,51.49
Pojuca (BA),32129,315,102.02
Ponto Novo (BA),17938,530,33.84
Porto Seguro (BA),167955,2286,73.48
Potiraguá (BA),10274,1112,9.24
Prado (BA),35003,1692,20.69
Presidente Dutra (BA),15130,232,65.2
Presidente Jânio Quadros (BA),12621,1209,10.44
Presidente Tancredo Neves (BA),27726,442,62.75
Queimadas (BA),25978,2011,12.92
Quijingue (BA),25272,1381,18.3
Quixabeira (BA),9461,366,25.82
Rafael Jambeiro (BA),19662,1091,18.03
Remanso (BA),40586,4574,8.87
Retirolândia (BA),13651,242,56.33
Riachão das Neves (BA),21642,5978,3.62
Riachão do Jacuípe (BA),33386,1155,28.9
Riacho de Santana (BA),30711,3184,9.65
Ribeira do Amparo (BA),13841,644,21.48
Ribeira do Pombal (BA),54010,1252,43.13
Ribeirão do Largo (BA),9740,1364,7.14
Rio de Contas (BA),13184,1115,11.82
Rio do Antônio (BA),13146,778,16.9
Rio do Pires (BA),10497,656,16
Rio Real (BA),35362,740,47.8
Rodelas (BA),10308,2207,4.67
Ruy Barbosa (BA),28282,1992,14.2
Salinas da Margarida (BA),14987,151,99.54
Salvador (BA),2418005,693,3486.96
Santa Bárbara (BA),20952,347,60.38
Santa Brígida (BA),14965,934,16.01
Santa Cruz Cabrália (BA),29185,1463,19.95
Santa Cruz da Vitória (BA),4681,284,16.48
Santa Inês (BA),10300,379,27.16
Santaluz (BA),37834,1623,23.3
Santa Luzia (BA),13769,824,16.7
Santa Maria da Vitória (BA),38604,1985,19.45
Santana (BA),24755,1909,12.97
Santanópolis (BA),8716,223,39.14
Santa Rita de Cássia (BA),27390,6030,4.54
Santa Terezinha (BA),10441,719,14.52
Santo Amaro (BA),56012,495,113.27
Santo Antônio de Jesus (BA),103055,262,393.73
Santo Estêvão (BA),52274,360,145.07
São Desidério (BA),32828,15157,2.17
São Domingos (BA),8426,290,29.06
São Félix (BA),11026,103,106.81
São Félix do Coribe (BA),15194,1752,8.67
São Felipe (BA),20283,222,91.2
São Francisco do Conde (BA),37732,270,139.9
São Gabriel (BA),18600,1146,16.23
São Gonçalo dos Campos (BA),39513,295,134.05
São José da Vitória (BA),5315,128,41.55
São José do Jacuípe (BA),10187,362,28.11
São Miguel das Matas (BA),10334,231,44.75
São Sebastião do Passé (BA),40958,537,76.32
Sapeaçu (BA),17963,131,136.89
Sátiro Dias (BA),16008,949,16.86
Saubara (BA),11438,166,68.73
Saúde (BA),10478,509,20.58
Seabra (BA),46160,2402,19.22
Sebastião Laranjeiras (BA),9360,1985,4.72
Senhor do Bonfim (BA),74490,789,94.37
Serra do Ramalho (BA),34222,2341,14.62
Sento Sé (BA),38158,11980,3.19
Serra Dourada (BA),17066,1592,10.72
