Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Nova Candelária (RS),3061,98,31.37
Nova Esperança do Sul (RS),4865,191,25.47
Nova Hartz (RS),20088,62,322.34
Nova Pádua (RS),2343,103,22.83
Nova Palma (RS),5586,315,17.76
Nova Petrópolis (RS),23177,290,79.88
Nova Prata (RS),25692,260,98.84
Nova Ramada (RS),2163,255,8.47
Nova Roma do Sul (RS),3466,150,23.14
Nova Santa Rita (RS),29024,218,133.04
Novo Cabrais (RS),3568,193,18.49
Novo Hamburgo (RS),227732,223,1023.35
Novo Machado (RS),3198,219,14.61
Novo Tiradentes (RS),2146,75,28.45
Novo Xingu (RS),1646,80,20.61
Novo Barreiro (RS),4272,123,34.63
Osório (RS),47400,664,71.4
Paim Filho (RS),3629,182,19.93
Palmares do Sul (RS),12844,949,13.53
Palmeira das Missões (RS),33216,1421,23.37
Palmitinho (RS),7839,144,54.37
Panambi (RS),43515,492,88.52
Pantano Grande (RS),10212,841,12.14
Paraí (RS),7194,122,59.09
Paraíso do Sul (RS),6519,338,19.31
Pareci Novo (RS),4319,57,75.13
Parobé (RS),52058,109,478.88
Passa Sete (RS),3982,304,13.09
Passo do Sobrado (RS),6025,265,22.72
Passo Fundo (RS),206224,784,262.9
Paulo Bento (RS),2144,150,14.32
Paverama (RS),7978,172,46.42
Pedras Altas (RS),2061,1374,1.5
Pedro Osório (RS),7484,604,12.4
Pejuçara (RS),3745,414,9.04
Pelotas (RS),325689,1609,202.44
Picada Café (RS),5351,84,63.49
Pinhal (RS),2959,68,43.37
Pinhal da Serra (RS),2248,438,5.13
Pinhal Grande (RS),3805,478,7.96
Pinheirinho do Vale (RS),4540,105,43.08
Pinheiro Machado (RS),11214,2249,4.99
Pinto Bandeira (RS),2723,105,25.98
Pirapó (RS),2260,294,7.69
Piratini (RS),17502,3538,4.95
Planalto (RS),10406,229,45.53
Poço das Antas (RS),2171,68,32.11
Pontão (RS),3296,503,6.56
Ponte Preta (RS),1575,100,15.83
Portão (RS),34072,159,213.89
Porto Alegre (RS),1332570,495,2689.94
Porto Lucena (RS),4360,251,17.38
Porto Mauá (RS),2142,106,20.24
Porto Vera Cruz (RS),1560,114,13.65
Porto Xavier (RS),9938,281,35.3
Pouso Novo (RS),1739,105,16.51
Presidente Lucena (RS),3077,50,62
Progresso (RS),5340,256,20.86
Protásio Alves (RS),2025,172,11.77
Putinga (RS),3747,216,17.33
Quaraí (RS),23500,3140,7.48
Quatro Irmãos (RS),1552,269,5.77
Quevedos (RS),2507,543,4.61
Quinze de Novembro (RS),3910,223,17.53
Redentora (RS),9738,304,32.06
Relvado (RS),1796,108,16.6
Restinga Sêca (RS),14939,969,15.42
Rio dos Índios (RS),2835,236,12.02
Rio Grande (RS),191900,2683,71.53
Rio Pardo (RS),34654,2051,16.9
Riozinho (RS),4473,239,18.71
Roca Sales (RS),10418,208,50.06
Rodeio Bonito (RS),6654,83,79.9
Rolador (RS),2291,295,7.76
Rolante (RS),21253,296,71.78
Ronda Alta (RS),9777,419,23.35
Rondinha (RS),4991,252,19.77
Roque Gonzales (RS),6576,349,18.84
Rosário do Sul (RS),36630,4344,8.43
Sagrada Família (RS),2480,78,31.84
Saldanha Marinho (RS),2575,222,11.62
Salto do Jacuí (RS),10203,508,20.1
Salvador das Missões (RS),2877,94,30.51
Salvador do Sul (RS),6879,99,69.38
Sananduva (RS),16399,504,32.51
Santa Bárbara do Sul (RS),8122,976,8.32
Santa Cecília do Sul (RS),1674,200,8.37
Santa Clara do Sul (RS),6887,86,79.67
Santa Cruz do Sul (RS),133230,734,181.54
Santa Maria (RS),271633,1780,152.59
Santa Maria do Herval (RS),6340,140,45.14
Santa Margarida do Sul (RS),2596,955,2.72
Santana da Boa Vista (RS),7024,1419,4.95
Sant'Ana do Livramento (RS),84421,6946,12.15
Santa Rosa (RS),76963,489,157.27
Santa Tereza (RS),1505,74,20.43
Santa Vitória do Palmar (RS),30983,5207,5.95
Santiago (RS),48938,2414,20.27
Santo Ângelo (RS),76917,679,113.22
Santo Antônio do Palma (RS),2091,126,16.58
Santo Antônio da Patrulha (RS),42942,1050,40.91
Santo Antônio das Missões (RS),10300,1711,6.02
Santo Antônio do Planalto (RS),2089,203,10.27
Santo Augusto (RS),13902,468,29.72
Santo Cristo (RS),15320,367,41.72
Santo Expedito do Sul (RS),2349,126,18.7
São Borja (RS),59676,3617,16.5
São Domingos do Sul (RS),2754,79,35.01
São Francisco de Assis (RS),17618,2507,7.03
São Francisco de Paula (RS),21893,3318,6.6
São Gabriel (RS),58487,5053,11.57
São Jerônimo (RS),21028,936,22.48
São João da Urtiga (RS),4461,171,26.08
São João do Polêsine (RS),2649,78,33.82
São Jorge (RS),2912,126,23.18
São José das Missões (RS),2362,98,24.07
São José do Herval (RS),1902,103,18.48
São José do Hortêncio (RS),4447,64,69.8
São José do Inhacorá (RS),2406,78,30.95
São José do Norte (RS),25443,1072,23.74
São José do Ouro (RS),6834,335,20.38
São José do Sul (RS),2285,55,41.72
São José dos Ausentes (RS),4172,1174,3.55
São Leopoldo (RS),217410,103,2110.59
São Lourenço do Sul (RS),41989,2036,20.62
São Luiz Gonzaga (RS),34752,1296,26.82
São Marcos (RS),21084,256,82.31
São Martinho (RS),5481,171,32.01
São Martinho da Serra (RS),2822,670,4.21
São Miguel das Missões (RS),7056,1228,5.74
São Nicolau (RS),5118,486,10.54
São Paulo das Missões (RS),5846,224,26.1
São Pedro da Serra (RS),3548,35,100.78
São Pedro das Missões (RS),1757,80,21.99
São Pedro do Butiá (RS),3070,108,28.54
São Pedro do Sul (RS),15577,873,17.84
São Sebastião do Caí (RS),24428,114,213.73
São Sepé (RS),21219,2205,9.62
São Valentim (RS),3264,154,21.13
São Valentim do Sul (RS),2207,92,24.02
São Valério do Sul (RS),2543,107,23.68
São Vendelino (RS),2251,32,70.49
São Vicente do Sul (RS),8097,1175,6.89
Sapiranga (RS),75648,136,554.31
Sapucaia do Sul (RS),132107,58,2268.05
Sarandi (RS),22851,352,64.97
Seberi (RS),11950,301,39.72
Sede Nova (RS),2704,119,22.66
Segredo (RS),6009,245,24.51
Selbach (RS),5107,176,28.94
Senador Salgado Filho (RS),2673,147,18.18
Sentinela do Sul (RS),5306,282,18.81
Serafina Corrêa (RS),16961,163,103.86
Sério (RS),1941,98,19.78
Sertão (RS),5541,441,12.58
Sertão Santana (RS),5863,252,23.26
Sete de Setembro (RS),1830,129,14.16
Severiano de Almeida (RS),3406,168,20.32
Silveira Martins (RS),2149,119,18.02
Sinimbu (RS),8578,510,16.81
Sobradinho (RS),14226,129,110.43
Soledade (RS),29991,1215,24.68
Tabaí (RS),4461,95,47.08
Tapejara (RS),24557,238,103.15
Tapera (RS),10592,180,58.87
Tapes (RS),14659,805,18.2
Taquara (RS),53242,453,117.64
Taquari (RS),25198,350,72
Taquaruçu do Sul (RS),3119,77,40.55
Tavares (RS),5212,610,8.54
Tenente Portela (RS),14497,337,42.95
Terra de Areia (RS),10286,142,72.28
Teutônia (RS),32797,178,184.47
Tio Hugo (RS),3267,114,28.67
Tiradentes do Sul (RS),5129,237,21.67
Toropi (RS),2554,198,12.88
Torres (RS),41751,162,258.32
Tramandaí (RS),54387,143,380.65
Travesseiro (RS),2152,81,26.67
Três Arroios (RS),2591,149,17.44
Três Cachoeiras (RS),10962,251,43.59
Três Coroas (RS),24425,165,147.78
Três de Maio (RS),24916,421,59.12
Três Forquilhas (RS),2760,217,12.7
Três Palmeiras (RS),4716,181,26.11
Três Passos (RS),25436,269,94.59
