Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Pontal (SP),37607,356,105.53
Pontalinda (SP),4127,210,19.7
Pontes Gestal (SP),2387,218,10.97
Populina (SP),4127,316,13.06
Porangaba (SP),10451,266,39.34
Porto Feliz (SP),56497,557,101.48
Porto Ferreira (SP),52649,245,214.98
Potim (SP),20392,45,456.78
Potirendaba (SP),18496,342,54
Pracinha (SP),2578,63,40.89
Pradópolis (SP),17078,167,102.03
Praia Grande (SP),349935,150,2338.32
Pratânia (SP),5126,175,29.27
Presidente Alves (SP),3804,287,13.27
Presidente Bernardes (SP),14490,749,19.34
Presidente Epitácio (SP),39505,1260,31.35
Presidente Prudente (SP),225668,561,402.52
Presidente Venceslau (SP),35201,755,46.61
Promissão (SP),35131,779,45.09
Quadra (SP),3405,206,16.56
Quatá (SP),13163,651,20.21
Queiroz (SP),3265,235,13.9
Queluz (SP),9159,249,36.72
Quintana (SP),7038,319,22.07
Rafard (SP),8965,122,73.7
Rancharia (SP),28588,1587,18.01
Redenção da Serra (SP),4494,309,14.52
Regente Feijó (SP),20145,263,76.52
Reginópolis (SP),7662,410,18.67
Registro (SP),59946,722,83
Restinga (SP),6404,246,26.06
Ribeira (SP),3132,336,9.33
Ribeirão Bonito (SP),10989,472,23.3
Ribeirão Branco (SP),18627,698,26.71
Ribeirão Corrente (SP),4608,148,31.07
Ribeirão do Sul (SP),4677,203,23.02
Ribeirão dos Índios (SP),2025,196,10.31
Ribeirão Grande (SP),7450,333,22.35
Ribeirão Pires (SP),115559,99,1167.59
Ribeirão Preto (SP),698259,651,1072.73
Riversul (SP),5599,386,14.51
Rifaina (SP),4049,163,24.92
Rincão (SP),9098,317,28.73
Rinópolis (SP),9259,358,25.83
Rio Claro (SP),201418,498,404.11
Rio das Pedras (SP),31328,227,138.22
Rio Grande da Serra (SP),44170,36,1215.43
Riolândia (SP),10309,632,16.31
Rosana (SP),17440,744,23.44
Roseira (SP),10832,130,83.42
Rubiácea (SP),2700,236,11.42
Rubinéia (SP),3833,243,15.78
Sabino (SP),5112,305,16.75
Sagres (SP),2474,148,16.72
Sales (SP),6437,309,20.86
Sales Oliveira (SP),11411,306,37.32
Salesópolis (SP),15202,425,35.77
Salmourão (SP),4808,173,27.8
Saltinho (SP),8161,100,81.82
Salto (SP),134319,133,1009.48
Salto de Pirapora (SP),43748,280,156.01
Salto Grande (SP),9050,188,48.03
Sandovalina (SP),3645,456,8
Santa Adélia (SP),14018,330,42.44
Santa Albertina (SP),6393,273,23.44
Santa Bárbara d'Oeste (SP),183347,271,676.48
Santa Branca (SP),13975,272,51.33
Santa Clara d'Oeste (SP),2598,183,14.16
Santa Cruz da Conceição (SP),4277,150,28.49
Santa Cruz da Esperança (SP),2116,148,14.29
Santa Cruz das Palmeiras (SP),28864,295,97.73
Santa Cruz do Rio Pardo (SP),46442,1115,41.66
Santa Ernestina (SP),6118,134,45.51
Santa Fé do Sul (SP),34794,207,168.46
Santa Gertrudes (SP),23611,98,240.22
Santa Isabel (SP),53174,363,146.35
Santa Lúcia (SP),7149,154,46.46
Santa Maria da Serra (SP),5243,253,20.75
Santa Mercedes (SP),2956,167,17.73
Santana da Ponte Pensa (SP),1670,130,12.86
Santana de Parnaíba (SP),154105,180,856.38
Santa Rita d'Oeste (SP),2733,210,13.03
Santa Rita do Passa Quatro (SP),24833,754,32.93
Santa Rosa de Viterbo (SP),23411,289,81.13
Santa Salete (SP),1645,79,20.77
Santo Anastácio (SP),17963,553,32.49
Santo André (SP),748919,176,4260.5
Santo Antônio da Alegria (SP),6775,310,21.83
Santo Antônio de Posse (SP),23244,154,150.8
Santo Antônio do Aracanguá (SP),8379,1308,6.4
Santo Antônio do Jardim (SP),6126,110,55.71
Santo Antônio do Pinhal (SP),7133,133,53.63
Santo Expedito (SP),3000,94,31.76
Santópolis do Aguapeí (SP),3899,128,30.45
Santos (SP),418608,281,1489.53
São Bento do Sapucaí (SP),11684,253,46.26
São Bernardo do Campo (SP),810729,410,1979.65
São Caetano do Sul (SP),165655,15,10805.23
São Carlos (SP),254822,1137,224.14
São Francisco (SP),2602,76,34.43
São João da Boa Vista (SP),92535,516,179.19
São João das Duas Pontes (SP),2580,129,19.93
São João de Iracema (SP),1846,178,10.35
São João do Pau d'Alho (SP),2242,118,19.05
São Joaquim da Barra (SP),48558,411,118.19
São José da Bela Vista (SP),7626,277,27.54
São José do Barreiro (SP),3853,571,6.75
São José do Rio Pardo (SP),52204,420,124.39
São José do Rio Preto (SP),480439,432,1112.27
São José dos Campos (SP),697428,1099,634.37
São Lourenço da Serra (SP),15984,186,85.73
São Luiz do Paraitinga (SP),10337,617,16.75
São Manuel (SP),37289,651,57.3
São Miguel Arcanjo (SP),32039,930,34.44
São Paulo (SP),11451245,1521,7527.76
São Pedro (SP),38256,611,62.58
São Pedro do Turvo (SP),7214,731,9.87
São Roque (SP),79484,307,258.98
São Sebastião (SP),81540,402,202.64
São Sebastião da Grama (SP),10441,252,41.37
São Simão (SP),13442,617,21.78
São Vicente (SP),329844,148,2226.4
Sarapuí (SP),10369,353,29.41
Sarutaiá (SP),3704,142,26.16
Sebastianópolis do Sul (SP),3130,168,18.65
Serra Azul (SP),12746,283,45.02
Serrana (SP),43909,126,348.36
Serra Negra (SP),29894,204,146.73
Sertãozinho (SP),126887,403,314.79
Sete Barras (SP),12730,1063,11.98
Severínia (SP),14576,140,103.77
Silveiras (SP),6186,415,14.91
Socorro (SP),40122,449,89.35
Sorocaba (SP),723574,450,1608.4
Sud Mennucci (SP),7355,595,12.37
Sumaré (SP),279546,153,1821.56
Suzano (SP),307364,206,1490.35
Suzanápolis (SP),3365,331,10.18
Tabapuã (SP),11323,346,32.75
Tabatinga (SP),14769,369,40.07
Taboão da Serra (SP),273542,20,13416.81
Taciba (SP),6260,607,10.31
Taguaí (SP),12669,145,87.17
Taiaçu (SP),5677,107,53.03
Taiúva (SP),6548,132,49.43
Tambaú (SP),21435,562,38.15
Tanabi (SP),25265,747,33.81
Tapiraí (SP),7996,755,10.59
Tapiratiba (SP),11816,222,53.25
Taquaral (SP),2619,54,48.6
Taquaritinga (SP),52260,594,87.93
Taquarituba (SP),24350,449,54.29
Taquarivaí (SP),6876,232,29.66
Tarabai (SP),6536,201,32.46
Tarumã (SP),14882,303,49.13
Tatuí (SP),123942,524,236.64
Taubaté (SP),310739,625,497.18
Tejupá (SP),4127,296,13.93
Teodoro Sampaio (SP),22173,1556,14.25
Terra Roxa (SP),7904,222,35.68
Tietê (SP),37663,404,93.13
Timburi (SP),2464,197,12.52
Torre de Pedra (SP),2046,71,28.68
Torrinha (SP),9335,315,29.61
Trabiju (SP),1682,63,26.52
Tremembé (SP),51173,191,267.79
Três Fronteiras (SP),6804,152,44.88
Tuiuti (SP),6778,127,53.48
Tupã (SP),63928,628,101.8
Tupi Paulista (SP),15854,245,64.77
Turiúba (SP),1818,153,11.86
Turmalina (SP),1669,148,11.29
Ubarana (SP),5365,210,25.56
Ubatuba (SP),92980,708,131.31
Ubirajara (SP),5132,282,18.19
Uchoa (SP),10394,252,41.18
União Paulista (SP),1603,79,20.28
Urânia (SP),8833,209,42.21
Uru (SP),1387,147,9.44
Urupês (SP),13744,324,42.43
Valentim Gentil (SP),14098,150,94.15
Valinhos (SP),126325,149,850.46
Valparaíso (SP),24241,858,28.26
Vargem (SP),10512,143,73.72
Vargem Grande do Sul (SP),40133,267,150.21
Vargem Grande Paulista (SP),50333,42,1184.61
Várzea Paulista (SP),115771,35,3296.44
Vera Cruz (SP),10176,248,41.08
Vinhedo (SP),76663,81,947.04
Viradouro (SP),17414,218,79.98
Vista Alegre do Alto (SP),8109,95,84.97
Vitória Brasil (SP),1794,50,36
Votorantim (SP),127923,184,694.53
Votuporanga (SP),96634,421,229.7
Zacarias (SP),2692,319,8.44
Chavantes (SP),12211,189,64.7
Estiva Gerbi (SP),11295,74,152.34
