Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Ibituruna (MG),2698,153,17.62
Icaraí de Minas (MG),10677,626,17.07
Igarapé (MG),45847,111,413.25
Igaratinga (MG),10830,218,49.6
Iguatama (MG),6826,628,10.87
Ijaci (MG),7003,105,66.54
Ilicínea (MG),12741,376,33.85
Imbé de Minas (MG),6986,197,35.51
Inconfidentes (MG),7301,150,48.8
Indaiabira (MG),6346,1004,6.32
Indianópolis (MG),6171,830,7.43
Ingaí (MG),2580,306,8.44
Inhapim (MG),22692,858,26.45
Inhaúma (MG),6239,245,25.47
Inimutaba (MG),7371,527,13.99
Ipaba (MG),17136,113,151.32
Ipanema (MG),19522,457,42.75
Ipatinga (MG),227731,165,1381.16
Ipiaçu (MG),3775,466,8.1
Ipuiúna (MG),9135,298,30.63
Iraí de Minas (MG),7180,356,20.15
Itabira (MG),113343,1254,90.41
Itabirinha (MG),10362,209,49.57
Itabirito (MG),53282,544,97.94
Itacambira (MG),4252,1788,2.38
Itacarambi (MG),17208,1225,14.04
Itaguara (MG),13846,410,33.73
Itaipé (MG),10463,481,21.76
Itajubá (MG),93073,295,315.68
Itamarandiba (MG),32948,2736,12.04
Itamarati de Minas (MG),3690,95,39.02
Itambacuri (MG),21042,1419,14.83
Itambé do Mato Dentro (MG),2142,380,5.63
Itamogi (MG),10770,244,44.19
Itamonte (MG),14786,432,34.24
Itanhandu (MG),15236,143,106.28
Itanhomi (MG),11128,489,22.76
Itaobim (MG),19151,679,28.2
Itapagipe (MG),13690,1802,7.6
Itapecerica (MG),20984,1041,20.17
Itapeva (MG),12692,177,71.57
Itatiaiuçu (MG),12966,295,43.93
Itaú de Minas (MG),14406,153,93.9
Itaúna (MG),97669,496,197.01
Itaverava (MG),5642,284,19.85
Itinga (MG),13745,1650,8.33
Itueta (MG),6052,453,13.37
Ituiutaba (MG),102217,2598,39.34
Itumirim (MG),6635,235,28.26
Iturama (MG),38295,1405,27.26
Itutinga (MG),4217,372,11.34
Jaboticatubas (MG),20406,1115,18.3
Jacinto (MG),11042,1394,7.92
Jacuí (MG),7495,409,18.31
Jacutinga (MG),25525,348,73.42
Jaguaraçu (MG),3092,164,18.88
Jaíba (MG),37660,2635,14.29
Jampruca (MG),4296,517,8.31
Janaúba (MG),70699,2181,32.41
Januária (MG),65130,6662,9.78
Japaraíba (MG),4508,172,26.19
Japonvar (MG),8127,375,21.66
Jeceaba (MG),6197,236,26.23
Jenipapo de Minas (MG),6100,284,21.44
Jequeri (MG),12419,548,22.67
Jequitaí (MG),6484,1268,5.11
Jequitibá (MG),5883,445,13.22
Jequitinhonha (MG),24002,3514,6.83
Jesuânia (MG),5138,154,33.4
Joaíma (MG),13888,1664,8.35
Joanésia (MG),4329,233,18.56
